Date,AAPL,MSFT,AMZN
2021-01-04,143301900,37130100,88228000
2021-01-05,97664900,23823000,53110000
2021-01-06,155088000,35930700,87896000
2021-01-07,109578200,27694500,70290000
2021-01-08,105158200,22956200,70754000
2021-01-11,100384500,23031300,73668000
2021-01-12,91951100,23249300,70292000
2021-01-13,88636800,20087100,66424000
2021-01-14,90221800,29480800,61418000
2021-01-15,111598500,31746500,84880000
2021-01-19,90757300,30480900,66102000
2021-01-20,104319500,37777300,106196000
2021-01-21,120150900,30709400,98722000
2021-01-22,114459400,30172700,56438000
2021-01-25,157611700,33152100,74996000
2021-01-26,98390600,49169600,59104000
2021-01-27,140843800,69870600,93204000
2021-01-28,142621100,49111200,62984000
2021-01-29,177523800,42503100,85872000
2021-02-01,106239800,33314200,83204000
2021-02-02,83305400,25916300,141972000
2021-02-03,89880900,27158100,141776000
2021-02-04,84183100,25296100,73414000
2021-02-05,75693800,18054800,72416000
2021-02-08,71297200,22211900,65148000
2021-02-09,76774200,23565000,44070000
2021-02-10,73046600,22186700,63032000
2021-02-11,64280000,15751100,46028000
2021-02-12,60145100,16561100,46706000
2021-02-16,80576300,26728500,51494000
2021-02-17,97918500,21653500,65950000
2021-02-18,96856700,16925600,60548000
2021-02-19,87668800,25262600,86104000
2021-02-22,103916400,36446900,70314000
2021-02-23,158273000,30228700,93544000
2021-02-24,111039900,26339700,60226000
2021-02-25,148199500,39542200,90676000
2021-02-26,164560400,37819200,85518000
2021-03-01,116307900,25324000,54582000
2021-03-02,102260900,22812500,51916000
2021-03-03,112966300,34029500,79774000
2021-03-04,178155000,44727800,109632000
2021-03-05,153766600,41872800,107772000
2021-03-08,154376600,35267400,83700000
2021-03-09,129525800,33080500,80600000
2021-03-10,111943300,29746800,60250000
2021-03-11,103026500,29907600,55528000
2021-03-12,88105100,22653700,48438000
2021-03-15,92403800,26034900,58272000
2021-03-16,115227900,28092200,50776000
2021-03-17,111932600,29562100,62372000
2021-03-18,121229700,34833000,72992000
2021-03-19,185549500,46430700,92508000
2021-03-22,111912300,30127000,58044000
2021-03-23,95467100,31638400,76346000
2021-03-24,88530500,25620100,59180000
2021-03-25,98844700,34061900,71270000
2021-03-26,94071200,25479900,66258000
2021-03-29,80819200,25227500,54920000
2021-03-30,85671900,24792000,46752000
2021-03-31,118323800,43623500,61878000
2021-04-01,75089100,30338000,58806000
2021-04-05,88651200,36910600,66698000
2021-04-06,80171300,22931900,50756000
2021-04-07,83466700,22719800,66924000
2021-04-08,88844600,23625200,56242000
2021-04-09,106686700,24326800,86830000
2021-04-12,91420000,27148700,65636000
2021-04-13,91266500,23837500,66316000
2021-04-14,87222800,23070900,62904000
2021-04-15,89347100,25627500,64672000
2021-04-16,84922400,24878600,63720000
2021-04-19,94264200,23209300,54508000
2021-04-20,94812300,19722900,52460000
2021-04-21,68847100,24030400,44224000
2021-04-22,84566500,25606200,51612000
2021-04-23,78657500,21462600,63856000
2021-04-26,66905100,19763300,97614000
2021-04-27,66015800,31014200,76542000
2021-04-28,107760100,46903100,92638000
2021-04-29,151101000,40589000,153648000
2021-04-30,109839500,30945100,140186000
2021-05-03,75135100,19626600,117510000
2021-05-04,137564700,32756100,108788000
2021-05-05,84000900,21901300,74226000
2021-05-06,78128300,26491100,88954000
2021-05-07,78973300,27032900,94206000
2021-05-10,88071200,29299900,116772000
2021-05-11,126142800,33641600,92396000
2021-05-12,112172300,36684400,98728000
2021-05-13,105861300,29624300,67018000
2021-05-14,81918000,23901100,66500000
2021-05-17,74244600,24970200,74478000
2021-05-18,63342900,20168000,56568000
2021-05-19,92612000,25739800,53594000
2021-05-20,76857100,21800700,52664000
2021-05-21,79295400,21863100,82098000
2021-05-24,63092900,21411500,48456000
2021-05-25,72009500,17704300,65222000
2021-05-26,56575900,17771600,47680000
2021-05-27,94625600,24426200,51224000
2021-05-28,71311100,18270200,46596000
2021-06-01,67637100,23213300,48600000
2021-06-02,59278900,19406700,40290000
2021-06-03,76229200,25307700,47966000
2021-06-04,75169300,25281100,44994000
2021-06-07,71057600,23079200,44316000
2021-06-08,74403800,22455000,68334000
2021-06-09,56877900,17937600,49110000
2021-06-10,71186400,24563600,69530000
2021-06-11,53522400,18999700,56348000
2021-06-14,96906500,19150500,51394000
2021-06-15,62746300,18038900,48524000
2021-06-16,91815000,27220000,84056000
2021-06-17,96721700,27565500,102730000
2021-06-18,108953300,37202200,104954000
2021-06-21,79663300,26696100,65542000
2021-06-22,74783600,24694100,66902000
2021-06-23,60214200,19518700,56266000
2021-06-24,68711000,21446900,76640000
2021-06-25,70783700,25611100,78820000
2021-06-28,62111300,19590000,44856000
2021-06-29,64556100,19937800,41968000
2021-06-30,63261400,21656500,48080000
2021-07-01,52485800,16725300,40742000
2021-07-02,78852600,26458000,63388000
2021-07-06,108181800,31565600,134896000
2021-07-07,104911600,23260000,106562000
2021-07-08,105575500,24618600,103612000
2021-07-09,99890800,23916700,74964000
2021-07-12,76299700,18931700,51432000
2021-07-13,100827100,26120100,76918000
2021-07-14,127050800,23113700,65932000
2021-07-15,106820300,22604200,63706000
2021-07-16,93251400,26186800,80874000
2021-07-19,121434600,32935600,75692000
2021-07-20,96350000,26259700,65114000
2021-07-21,74993500,24364300,46380000
2021-07-22,77338200,23384100,65308000
2021-07-23,71447400,22768100,48726000
2021-07-26,72434100,23176100,58002000
2021-07-27,104818600,33604100,82638000
2021-07-28,118931200,33566900,59988000
2021-07-29,56699500,18168300,110400000
2021-07-30,70440600,20944800,199312000
2021-08-02,62880000,16267400,67078000
2021-08-03,64786600,17879000,83146000
2021-08-04,56368300,16191300,43678000
2021-08-05,46397700,13900200,48670000
2021-08-06,54126800,16589300,52752000
2021-08-09,48908700,16117600,42964000
2021-08-10,69023100,18616600,48252000
2021-08-11,48493500,13955900,58944000
2021-08-12,72282600,14561300,46282000
2021-08-13,59375000,18249000,41134000
2021-08-16,103296000,22507600,66394000
2021-08-17,92229700,20075300,67758000
2021-08-18,86326000,21813000,56086000
2021-08-19,86960300,29850500,75658000
2021-08-20,60549600,40817600,67168000
2021-08-23,60131800,22830200,65362000
2021-08-24,48606400,18175800,51036000
2021-08-25,58991300,20006100,33606000
2021-08-26,48597200,17666100,41976000
2021-08-27,55802400,22605700,48048000
2021-08-30,90956700,16348100,63844000
2021-08-31,86453100,26285300,87128000
2021-09-01,80313700,18983800,72598000
2021-09-02,71115500,16285600,58474000
2021-09-03,57808700,14747900,51514000
2021-09-07,82278300,17180400,54758000
2021-09-08,74420200,15046800,61068000
2021-09-09,57305700,19927000,54384000
2021-09-10,140893200,19633400,47946000
2021-09-13,102404300,23652900,51380000
2021-09-14,109296300,21853400,38738000
2021-09-15,83281300,28356300,59150000
2021-09-16,68034100,19550800,51672000
2021-09-17,129868800,41372500,92332000
2021-09-20,123478900,38278700,93382000
2021-09-21,75834000,22364100,55618000
2021-09-22,76404300,26626300,48228000
2021-09-23,64838200,18604600,47588000
2021-09-24,53477900,14999000,42324000
2021-09-27,74150700,23571700,72690000
2021-09-28,108972300,43186200,88616000
2021-09-29,74602000,26353700,51246000
2021-09-30,89056700,32343600,56848000
2021-10-01,94639600,30086300,56712000
2021-10-04,98322000,31350700,90462000
2021-10-05,80861100,24993000,65384000
2021-10-06,83221100,28002600,50660000
2021-10-07,61732700,20430500,48182000
2021-10-08,58773200,17685700,39964000
2021-10-11,64452200,19298600,40684000
2021-10-12,73035900,17974100,36392000
2021-10-13,78762700,23416300,48402000
2021-10-14,69907100,27262900,42190000
2021-10-15,67940300,25384800,103598000
2021-10-18,85589200,22729300,63482000
2021-10-19,76378900,17682100,47722000
2021-10-20,58418800,16537100,42796000
2021-10-21,61421000,16918100,37628000
2021-10-22,58883400,17449300,62782000
2021-10-25,50720600,17554500,44520000
2021-10-26,60893400,28107300,53966000
2021-10-27,56094900,52588700,54044000
2021-10-28,100077900,26297900,114174000
2021-10-29,124953200,34766000,129722000
2021-11-01,74588300,27073200,72178000
2021-11-02,69122000,26487100,52552000
2021-11-03,54511500,21500100,67944000
2021-11-04,60394600,23992200,107060000
2021-11-05,65463900,22570100,99940000
2021-11-08,55020900,20897000,61480000
